race,taille,poids,velocite,intellig,affect,agress,fonction
beaucero,T++,P+,V++,I+,Af+,Ag+,Uti
basset,T-,P-,V-,I-,Af-,Ag+,Cha
ber_alle,T++,P+,V++,I++,Af+,Ag+,Uti
boxer,T+,P+,V+,I+,Af+,Ag+,Com
bull-dog,T-,P-,V-,I+,Af+,Ag-,Com
bull-mas,T++,P++,V-,I++,Af-,Ag+,Uti
caniche,T-,P-,V+,I++,Af+,Ag-,Com
chihuahu,T-,P-,V-,I-,Af+,Ag-,Com
cocker,T+,P-,V-,I+,Af+,Ag+,Com
colley,T++,P+,V++,I+,Af+,Ag-,Com
dalmatie,T+,P+,V+,I+,Af+,Ag-,Com
doberman,T++,P+,V++,I++,Af-,Ag+,Uti
dogue_al,T++,P++,V++,I-,Af-,Ag+,Uti
epagn_br,T+,P+,V+,I++,Af+,Ag-,Cha
epagn_fr,T++,P+,V+,I+,Af-,Ag-,Cha
fox_houn,T++,P+,V++,I-,Af-,Ag+,Cha
fox_terr,T-,P-,V+,I+,Af+,Ag+,Com
grand_bl,T++,P+,V+,I-,Af-,Ag+,Cha
labrador,T+,P+,V+,I+,Af+,Ag-,Cha
levrier,T++,P+,V++,I-,Af-,Ag-,Cha
mastiff,T++,P++,V-,I-,Af-,Ag+,Uti
pekinois,T-,P-,V-,I-,Af+,Ag-,Com
pointer,T-,P+,V++,I++,Af-,Ag-,Cha
saint_be,T++,P++,V-,I+,Af-,Ag+,Uti
setter,T-,P+,V++,I+,Af-,Ag-,Cha
teckel,T-,P-,V-,I+,Af+,Ag-,Com
terre_ne,T++,P++,V-,I+,Af-,Ag-,Uti
